City,Year,PM2.5 (µg/m³),SmartCity,EV,GreenCover,PopulationDensity,AT (°C),RH (%),WS (m/s),RF (mm)
Guwahati,2023,56.25002002321157,1.0,4854,29.41,230.81,24.83172461834876,78.14312851751112,2.023730294944945,0.03802157050645734
Guwahati,2024,68.98183561643836,1.0,6779,29.41,230.81,24.87918079096045,80.77912429378532,2.1326589595375722,0.05421917808219178
Guwahati,2025,51.28567493112948,1.0,8183,29.41,230.81,25.365555555555556,83.19804093567251,2.2486813186813186,0.01934065934065934
Gwalior,2017,48.384498256863054,1.0,517,1226.86,313.88,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Gwalior,2018,48.384498256863054,1.0,1189,1226.86,313.88,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Gwalior,2019,48.384498256863054,1.0,1846,1226.86,313.88,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Gwalior,2020,58.88101449275363,1.0,2211,1226.86,313.88,25.640869565217393,63.25139130434783,0.7484637681159421,0.026318840579710144
Gwalior,2021,61.50695054945054,1.0,3436,1226.86,313.88,24.990771349862257,64.22608219178082,0.7695342465753424,0.06876712328767123
Gwalior,2022,63.10606741573033,1.0,8897,1226.86,313.88,24.60064606741573,64.9441011235955,0.7879775280898876,0.031376404494382025
Gwalior,2023,62.441493917559455,1.0,17331,1226.86,313.88,24.151949571776463,67.42999065273018,0.7372760994246812,0.011140046296296292
Gwalior,2024,53.47420765027323,1.0,21469,1226.86,313.88,26.503087431693988,67.77535519125682,0.5990710382513661,0.009918032786885246
Gwalior,2025,45.581978021978024,1.0,23581,1226.86,313.88,25.98665753424657,70.70479452054795,0.5038904109589041,0.024493150684931506
Indore,2017,48.384498256863054,1.0,329,661.52,399.67,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Indore,2018,48.384498256863054,1.0,877,661.52,399.67,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Indore,2019,59.28179245283019,1.0,1578,661.52,399.67,24.243490566037735,67.53,1.1242452830188678,0.03009433962264151
Indore,2020,39.5389010989011,1.0,2353,661.52,399.67,27.0264010989011,56.871263736263735,1.3526373626373627,0.03637362637362637
Indore,2021,48.29119777158775,1.0,5064,661.52,399.67,24.686115702479338,55.92413698630137,1.3903287671232878,0.03495890410958904
Indore,2022,42.7985,1.0,14821,661.52,399.67,25.882,55.22476712328768,1.2771232876712328,0.0423013698630137
Indore,2023,43.6416584933201,1.0,30582,661.52,399.67,25.634035944571124,60.19782823177817,1.1222238551627683,0.04097981903346653
Indore,2024,51.762950819672135,1.0,39235,661.52,399.67,25.775437158469945,61.66131147540984,0.8129508196721312,0.03240437158469945
Indore,2025,49.536291208791205,1.0,42868,661.52,399.67,25.338076923076922,62.354532967032966,0.8687362637362638,0.035412087912087914
Jaipur,2017,71.98102040816327,1.0,45,564.58,700.13,24.6725,23.63608695652174,0.630759493670886,0.0
Jaipur,2018,50.347095890410955,1.0,578,564.58,700.13,25.770373073616994,67.78151515151515,1.059041095890411,0.4601960784313726
Jaipur,2019,36.571479452054795,1.0,832,564.58,700.13,25.770373073616994,67.78151515151515,1.601456043956044,0.02287671232876712
Jaipur,2020,37.80814207650273,1.0,1864,564.58,700.13,25.770373073616994,67.78151515151515,1.5368579234972677,0.02287671232876712
Jaipur,2021,55.79841095890411,1.0,7626,564.58,700.13,24.591351351351353,67.78151515151515,1.5307671232876712,0.012027027027027027
Jaipur,2022,51.51613698630137,1.0,25613,564.58,700.13,26.42964383561644,67.78151515151515,1.4472876712328766,0.02287671232876712
Jaipur,2023,51.41398822575198,1.0,44716,564.58,700.13,25.688009806380435,67.78151515151515,1.2533762387758896,0.02288682467687827
Jaipur,2024,48.89625683060109,1.0,53136,564.58,700.13,26.11853591160221,67.78151515151515,1.3737292817679558,0.033867403314917124
Jaipur,2025,50.272231404958674,1.0,55259,564.58,700.13,25.765308988764048,67.78151515151515,1.149494382022472,0.019241573033707868
Kochi,2017,48.384498256863054,1.0,5,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kochi,2018,48.384498256863054,1.0,40,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kochi,2019,48.384498256863054,1.0,92,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kochi,2020,29.098205980066442,1.0,172,0.93,142.92,25.770373073616994,75.0694055944056,0.7268881118881119,0.43153846153846154
Kochi,2021,30.19887671232877,1.0,876,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kochi,2022,64.46863372093023,1.0,3237,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kochi,2023,35.628492605566684,1.0,6443,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kochi,2024,39.313750000000006,1.0,8206,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kochi,2025,48.384498256863054,1.0,8951,0.93,142.92,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kozhikode,2017,48.384498256863054,0.0,3,1882.06,52.8,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kozhikode,2018,48.384498256863054,0.0,13,1882.06,52.8,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kozhikode,2019,48.384498256863054,0.0,67,1882.06,52.8,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kozhikode,2020,21.070762463343108,0.0,174,1882.06,52.8,25.770373073616994,74.74956140350876,1.203859649122807,0.0
Kozhikode,2021,19.209226519337015,0.0,713,1882.06,52.8,25.770373073616994,75.90378453038673,1.0993370165745855,0.0
Kozhikode,2022,35.89177325581395,0.0,2954,1882.06,52.8,25.770373073616994,75.04927325581396,1.1649127906976744,0.0
Kozhikode,2023,44.8546739227208,0.0,7394,1882.06,52.8,25.770373073616994,67.97755883805783,1.0916927759211172,0.0
Kozhikode,2024,48.384498256863054,0.0,9108,1882.06,52.8,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Kozhikode,2025,48.384498256863054,0.0,9836,1882.06,52.8,25.770373073616994,67.78151515151515,1.1368698325206699,0.02287671232876712
Ludhiana,2017,73.46121951219511,1.0,0,47.57,109.48,25.770373073616994,60.026526946107786,0.44358208955223877,0.02287671232876712
Ludhiana,2018,51.491685082872934,1.0,59,47.57,109.48,25.770373073616994,70.87579439252337,0.4700623052959502,0.02287671232876712
