City,Year,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),EV,GreenCover,PopulationDensity
Guwahati,2024,68.98183561643836,125.00139726027398,10.566876712328767,20.470410958904107,17.53345205479452,12.299150684931506,9.213342465753424,0.8625360230547551,22.297479452054795,0.21930232558139534,1.111482558139535,,,3.453918367346939,5.954781341107871,24.87918079096045,80.77912429378532,2.1326589595375722,184.3471676300578,0.05421917808219178,0.052978142076502734,33.283529411764704,,,6779,29.41,230.81
Guwahati,2025,51.28567493112948,91.60611570247933,31.283543956043953,14.540164835164834,28.19914835164835,38.07997252747253,9.156043956043957,0.6923901098901099,15.335879120879122,1.0264553314121037,1.0153314121037464,,,1.5431700288184438,3.635043227665706,25.365555555555556,83.19804093567251,2.2486813186813186,194.35472527472527,0.01934065934065934,1.6273972602739726,22.15804945054945,,,8183,29.41,230.81
Gwalior,2017,,,,,,,,,,,,,,,,,,,,,0.0,,,,517,1226.86,313.88
Gwalior,2018,,,,,,,,,,,,,,,,,,,,,0.0,,,,1189,1226.86,313.88
Gwalior,2019,,,,,,,,,,,,,,,,,,,,,0.0,,,,1846,1226.86,313.88
Gwalior,2020,58.88101449275363,116.89544927536232,8.739823008849559,24.321592920353982,20.011710914454277,19.40259587020649,21.720434782608695,0.7554941860465116,57.52507246376812,,,,,,,25.640869565217393,63.25139130434783,0.7484637681159421,194.0066666666667,0.026318840579710144,2.3827868852459018,286.74428985507245,735.9615072463769,,2211,1226.86,313.88
Gwalior,2021,61.50695054945054,123.24573407202216,10.497397260273972,28.191260273972603,23.51145205479452,19.61427397260274,19.429479452054796,0.8004109589041095,47.32594520547946,,,,,,,24.990771349862257,64.22608219178082,0.7695342465753424,194.6473698630137,0.06876712328767123,6.5208219178082185,255.57219178082192,736.4992602739726,,3436,1226.86,313.88
Gwalior,2022,63.10606741573033,129.77143258426966,11.600505617977527,28.682331460674156,24.55292134831461,18.173426966292133,21.198904494382024,0.8044662921348315,43.280337078651684,,,,,,,24.60064606741573,64.9441011235955,0.7879775280898876,199.79033707865167,0.031376404494382025,2.5123287671232877,262.2483426966292,736.2263202247191,,8897,1226.86,313.88
Gwalior,2023,62.441493917559455,112.26771571498341,5.354886213383886,20.413326285764306,15.468030663895863,16.411033174697682,22.539321837398937,0.8998546616317902,44.30691961234967,,,,,,,24.151949571776463,67.42999065273018,0.7372760994246812,200.09621300352782,0.011140046296296292,0.010910388127853879,258.7033757590278,737.4408930576162,,17331,1226.86,313.88
Gwalior,2024,53.47420765027323,113.53704918032786,3.3334426229508196,22.881830601092897,14.26825136612022,19.850765027322403,21.300956284153006,1.0093442622950821,40.787978142076504,,,,,,,26.503087431693988,67.77535519125682,0.5990710382513661,196.52275956284154,0.009918032786885246,0.009890710382513662,252.51871584699455,735.9510655737705,,21469,1226.86,313.88
Gwalior,2025,45.581978021978024,95.41128767123288,2.3976164383561644,16.48013698630137,9.819534246575342,9.18095890410959,15.742246575342467,0.9377260273972602,45.04441095890411,,,,,,,25.98665753424657,70.70479452054795,0.5038904109589041,191.94268493150685,0.024493150684931506,2.3394520547945206,251.08446575342467,736.7950958904111,,23581,1226.86,313.88
Indore,2017,,,,,,,,,,,,,,,,,,,,,0.0,,,,329,661.52,399.67
Indore,2018,,,,,,,,,,,,,,,,,,,,,0.0,,,,877,661.52,399.67
Indore,2019,59.28179245283019,127.02915094339623,32.505384615384614,55.86394230769231,56.23596153846154,23.488269230769234,8.056037735849056,1.1903773584905661,34.64801886792453,,,,,,,24.243490566037735,67.53,1.1242452830188678,134.89037735849055,0.03009433962264151,0.8380821917808219,210.60801886792453,702.7954901960784,,1578,661.52,399.67
Indore,2020,39.5389010989011,99.5318956043956,14.764490358126722,45.950303030303026,37.51796143250689,16.903085399449036,9.973296703296702,0.7635439560439561,48.791181318681325,,,,,,,27.0264010989011,56.871263736263735,1.3526373626373627,186.55156593406593,0.03637362637362637,3.4379781420765028,214.3673901098901,702.5012775330397,,2353,661.52,399.67
Indore,2021,48.29119777158775,118.29547222222223,16.54717808219178,46.64167123287671,38.21824657534246,18.269945205479452,14.025890410958903,1.016,47.815989010989014,,,,,,,24.686115702479338,55.92413698630137,1.3903287671232878,187.5926575342466,0.03495890410958904,3.34958904109589,219.43090410958905,702.7107207207207,,5064,661.52,399.67
